Question_ID,Questions,Answers
3268009,ብዛዕባ ዓይነታት ሕክምና ጥዕና ኣእምሮ ኣበይ ክመሃር ይኽእል?,"ኩነታት ጥዕና ኣእምሮ መብዛሕትኡ ግዜ ብመድሃኒት፡ ፍወሳ ወይ ድማ ብውህደት ክልቲኦም ይሕከሙ።"
3340726,ዝተፈላለዩ ዓይነታት ሰብ ሞያ ጥዕና ኣእምሮ እንታይ እዮም?፣ ዝተፈላለዩ ዓይነታት ሰብ ሞያ ጥዕና ኣእምሮ ኣለዉ፣ ነፍሲ ወከፎም ፍሉይ ስልጠናን ተራን ኣለዎም። እዚኦም ድማ ሓካይም ስነ-ኣእምሮ፡ ክኢላታት ስነ-ኣእምሮ፡ ኣማኸርቲ፡ ማሕበራዊ ሰራሕተኛታትን ናይ ስነ-ኣእምሮ ነርስ ሞያውያንን ይርከብዎም። ሰብ ሞያ ጥዕና ኣእምሮ ዝተፈላለየ ዓይነት ደገፍ ይህቡ፣ ንኣብነት ፍወሳ፣ ምሕደራ መድሃኒት፣ ከምኡ’ውን ምትእትታው ቅልውላው።ንዓኻ ዝምጥን ምርካብ ዝያዳ መጽናዕቲ ከድልዮ ይኽእል እዩ።
9539480,ኣበይ ክኸይድ ይኽእል ናይ ደገፍ ጉጅለ ክረክብ?,ብዙሓት ሰባት ናይ መዛኑ ደገፍ ኣብ ሕውየቶም ክሕግዝ ዝኽእል ሓጋዚ መሳርሒ ኮይኑ ይረኽብዎ። 
4211025,ኣበይ ክኸይድ ይኽእል ናይ ሕክምና ሕሙማት ክንክን ክረክብ ይኽእል?,"ሕክምና ሕሙማት ሰባት ኣብ ሓደስቲ መድሃኒታት ክረጋግኡ፡ ምስ ሓደስቲ ምልክታት ክላመዱ፡ ወይ ድማ ዘድልዮም ሓገዝ ክረኽቡ ክሕግዞም ይኽእል እዩ።"
4031860,ካልኦት ናይ ከባቢ ኣገልግሎታት ንምርካብ ኣበይ ክኸይድ ይኽእል?,"ኣብ ማሕበረሰብካ ሕክምና ጥዕና ኣእምሮ ንምርካብ ክሕግዙኻ ዝኽእሉ ብዙሓት ጸጋታት ክህልዉ ይኽእሉ እዮም። እዞም ጸጋታት እዚኦም ትኽክለኛ ሓኪም ንምርካብ ክሕግዙኻ ይኽእሉ፣ ከምኡ'ውን ተግባራዊ ዝኾኑ ኣማራጺታት ሕክምናን መስርሕ ሕክምናን ብዝበለጸ ክትርዳእ ከኽእሉኻ ይኽእሉ።"
5215843,ብዛዕባ ክሊኒካዊ ፈተነታት ዝያዳ ሓበሬታ ኣበይ ክመሃር ይኽእል?,"ሓደ ሓደ ግዜ፡ ተጠቀምቲ ኣገልግሎት ጥዕና ኣእምሮ ዝተፈላለዩ መድሃኒታትን ሕክምናታትን ፈቲኖም ክንሶም ምምሕያሽ ኣብ ዘይረኸቡሉ እዋን ኣብ መጽናዕታዊ መጽናዕቲ ክሳተፉ ክሓስቡ ይኽእሉ። መጽናዕታዊ መጽናዕቲ (ብክሊኒካዊ ፈተነታት እውን ይፍለጡ) ሓደስቲ መድሃኒታት ወይ ሓደስቲ ኣገባባት ሕክምና ምጥቃም ዘጠቓልል ክኸውን ይኽእል እዩ፡ ድሕንነቶምን ኣድማዕነቶምን ዝፍተን ዘሎ። ኣብቲ ዓውዲ ንዝፍጠር ምህዞታት ክንድግፍ ከለና፡ ተጠቀምቲ ክህልዉ ይግባእ። ምስ ክሊኒካዊ ፈተነታት ዝተኣሳሰሩ ሓደጋታት ከምዘለዉ ኣጠንቀቑ – ቅድሚ ምምዝጋብካ ምፍላጥካ ኣረጋግጽ።"
8927672,ብዛዕባ ምፍጣር ናይ ስነ-ኣእምሮ ቅድመ-መምርሒ ዝያዳ ሓበሬታ ኣበይ ክመሃር ይኽእል?,"ብመሰረት ናይ ሕክምና ቅድመ-መምርሒ ወይ ናይ ጥዕና ክንክን ስልጣን፡ ናይ ስነ-ኣእምሮ ቅድመ-መምርሒ ኣብ እዋን ጥዕና ዝተዛዘመ ሕጋዊ ሰነድ ኮይኑ፡ ሓደ ሰብ ኣብ እዋን ቅልውላው ጥዕና ኣእምሮ ክህልዎ ወይ ዘይክህልዎ ዝደሊ ሕክምና ወይ ኣገልግሎት ብዝምልከት መምርሒታት ዝህብ ኮይኑ፡ ኣብ ክንክን ጥዕናኡ ንምጽላው ክሕግዝ ይኽእል።"
7728364,ጥዕና ኣእምሮ እንታይ እዩ?,"ኩላትና ብእምነትና፣ ኣተሓሳስባና፣ ስምዒታትናን ኣካይዳናን ዝቖመ ናይ ኣእምሮ ጥዕና ኣለና።"
4194958,እቲ ደገፍ እንተዘይሓጊዙኒ እንታይ ክገብር?,"ዝተፈላለዩ ነገራት ንዝተፈላለዩ ሰባት ከም ዝሕግዙ፡ ዝሕግዙኻ ነገራት ክትረክብ ከቢድ ክኸውን ይኽእል’ዩ። ንዝተፈላለዩ ኣገባባት ክፉት ምዃንን ቅኑዕ ሓገዝ ንምርካብ ተወፋይነት ምህላውን፡ ዋላ’ውን ገለ ነገራት ኣብ ዘይሰርሑሉ እዋን፡ ተስፋ ምቕጻልን ኣገዳሲ’ዩ።"
1667863,ጸገማት ጥዕና ኣእምሮ ክትከላኸል ትኽእል ዲኻ?,"ኩላትና ብናይ ኣእምሮ ጥዕና ብድሆታት ክንሳቐ ንኽእል ኢና፡ እንተኾነ ግን ጽቡቕ ሂወትና ምምዕባል፡ ጽንዓትና፡ ከምኡ'ውን ብኣግኡ ሓገዝ ምድላይ፡ ብድሆታት ከበድቲ ከይኮኑ ክሕግዝ ይኽእል"
8904276,ንጸገማት ጥዕና ኣእምሮ መድሃኒት ኣሎ ድዩ?,"መብዛሕትኡ ግዜ ኣብ ዘጋጥሙኻ ጉዳያት እንታይ ከም ዝሕግዝ ምፍላጥ ዝያዳ ክውንነታውን ሓጋዝን እዩ። ምዝርራብ፡ ምኽሪ፡ መድሃኒት፡ ዕርክነት፡ ምንቅስቓስ ኣካላት፡ ጽቡቕ ድቃስን ኣመጋግባን፡ ከምኡ'ውን ትርጉም ዘለዎ ሞያ ኩሎም ክሕግዙ ይኽእሉ።"
4283807,ጠንቂ ጸገማት ጥዕና ኣእምሮ እንታይ እዩ?,"ብድሆታት ወይ ጸገማት ኣብ ጥዕና ኣእምሮኻ ካብ ስነ-ኣእምሮኣዊ፡ ስነ-ህይወታዊ፡ ማሕበራዊ፡ ጉዳያት፡ ከምኡ'ውን ካብ ፍጻመታት ህይወት ክለዓል ይኽእል እዩ።"
8690253,ብዛዕባ ጥዕና ኣእምሮይ እንተተጨኒቐ እንታይ’የ ዝገብር?,"እቲ ኣገዳሲ ነገር ምስ እትኣምኖ ሰብ ምዝርራብ’ዩ። እዚ ዓርክኻ፡ መሳርሕትኻ፡ ኣባል ስድራቤትካ፡ ወይ’ውን ሓፈሻዊ ሓኪም ክኸውን ይኽእል’ዩ። ኣብ ርእሲ’ቲ ምስ ሓደ ሰብ ምዝርራብ፡ ብዛዕባ’ቲ ዘጋጥመካ ዘሎ ዝያዳ ሓበሬታ ምፍላጥ ጠቓሚ ክኸውን ይኽእል’ዩ። እዚ ነገራት’ዚ ነቲ ዘጋጥመካ ዘሎ ገለ ኣረኣእያ ንምርካብ ክሕግዙ ይኽእሉ፡ ከምኡ’ውን ሓገዝ ምርካብ መጀመርታ ክኸውን ይኽእል።"
2973656,ከመይ ጌረ’የ ዝፈልጥ ጽቡቕ እንተ ዘይኮይኑ?,"እምነትካ ፡ ሓሳብካ ፡ ስምዒታትካ ወይ ባህርያትካ ኣብ’ቲ ከም ንቡር ወይ ተራ መንገዲ ክቑጸር ዝኽእል ናይ ምስራሕ ዓቕምኻ ልዑል ጽልዋ እንተሃልይዎ፡ ሓገዝ ምሕታት ኣገዳሲ ምኾነ።"
4759773,ብዛዕባ ዓርከይ ወይ ዘመድ ምስ ዝጭነቕ እንታይ ክገብር ኣለኒ?,እዚ ኣብቲ ምስኦም ዘለካ ርክብ ክምርኮስ ይኽእል’ዩ። ንሓደ ሰብ ግቡእ ደገፍ ንኽረክብ ቀስ ኢልካ ምትብባዕ፡ ኣብ መጀመርታ ሓጋዚ ምዃን የድሊ።
1511075,ሓደ ሰብ እንታይ ክገብር ከም ዘለኒ ምስ ዝነግረኒ ከመይ ይገጥም?,"ገለ ሰባት ብጽቡቕ ዕላማ እንታይ ከም ዝሰርሕ ጽቡቕ መርትዖ ክመኽሩኻ ይኽእሉ እዮም፡ እንተኾነ ግን ዝበለጸ ዝሰርሓልካ ምፍላጥ ኣገዳሲ እዩ።"
7069853,ስለምንታይ እዩ ሓበሬታ ምሃብ ዘድልየኒ?,"ሕማቕ ዜና ንምውጋድ ንዓለም ጠቕሊልካ ክትዓግታ ምፍታን ፈታኒ ክኸውን ይኽእል እዩ፡ እንተኾነ ግን ነብስኻ ክትሕብር ኣገዳሲ እዩ። ኣብ እዋን ለበዳ ኩላትና ክንስጉም ኣለና ምኽንያቱ ኩላትና ኣብ ምንካይ ዝርገሐ እቲ ቫይረስ እጃም ስለዘለና እዩ። እንታይ ክግበር ከምዘለዎን ብኸመይ ክትገብሮ ከምዘለካን ምፍላጥ ኣገዳሲ እዩ። እዚ ንጥዕና ጎረባብትኻን ናይ ገዛእ ርእስኻ ጥዕና ኣእምሮን ኣገዳሲ እዩ፣ ከምኡ'ውን... ስጉምቲ ምውሳድ ከም ተስፋ ምቑራጽን ተስፋ ምቑራጽን ዝኣመሰሉ ከበድቲ ስምዒታት ንምምካት ክሕግዝ ይኽእል።
 ኣብ ቻይና ካብ ዝርከቡ ሰባት ዝተገብረ መጽናዕቲ ከም ዘመልክቶ፡ ብዛዕባ ሕማም ኮሮናቫይረስን ኮቪድ-19ን ዘተኣማምን እዋናዊ ሓበሬታን ብኸመይ ክዋስኡ ከም ዘለዎም ቅኑዕ መምርሒታትን (ከም መምርሒታት ኣብ ዙርያ ኢድ ምሕጻብን ማስክ ምግባርን) ዝያዳ ተጻዋርነት ከም ዝስምዖምን ነቲ ቫይረስ ንምሓዝ ዝሓሸ ዓቕሚ ከም ዝስምዖምን ይሕብር። ጽቡቕን ቅኑዕን ሓበሬታ ዝረኸቡ ሰባት፡ ትሑት ደረጃ ጸቕጢ፡ ጭንቀትን ጭንቀትን ከም ዝነበሮም ጸብጺቦም። እዚ መጽናዕቲ ብነጻ ኣብ www.mdpi.com/1660-4601/17/5/1729 ይርከብ። 
 ብርግጽ ደረት ምግባር ጸገም የብሉን። ሓበሬታ ምጽናሕ ማለት ምሉእ መዓልቲ ዜና ክትከታተል ኣለካ ማለት ኣይኮነን። ኣብ መዓልቲ ውሑዳት ግዜ ምእታው፡ ኣብ እሙናት ምንጭታትን ማዕከናት ዜናን ተጣቢቕካ። ማሕበራዊ መራኸቢታት ምስ ስድራቤትን ፈተውትን ርክብ ንምግባር ብሉጽ መገዲ ክኸውን ዝኽእል እኳ እንተኾነ፡ ማሕበራዊ መራኸቢታት ግን ሕማቕ ምኽሪ፡ ዘይንጹር ወይ ዘይሓቀኛ ዛንታታትን ካልእ ዘይሕግዝ ሓበሬታን ከዕብዮ ይኽእል እዩ። ጽቡቕ ናይ ነቐፌታዊ ኣተሓሳስባ ክእለት ምጥቃምካ ኣረጋግጽ።"
4181750,ሓበሬታ ጥዕና ጽቡቕ ድዩ ሕማቕ ብኸመይ ክፈልጥ ይኽእል?,"ዝኾነ ሰብ ዝኾነ ነገር ኣብ ኢንተርነት ክዝርግሕ ይኽእል እዩ። ሓጋዚ፡ ሓቂ፡ ወይ ውሑስ እንተመሲሉ ንምውሳን ብዛዕባ ሓበሬታ ብነቐፌታዊ መንገዲ ምሕሳብ ናይ ኣንበብቲ እዩ። 
 ብኢንተርነት ሓበሬታ ምዝርጋሕ ኣዝዩ ቀሊል እዩ፣ እቲ እነንብቦ ወይ ንርእዮ ዘለና ምንጪ ድማ እቲ መበቆላዊ ምንጪ እዩ ኢልና ክንሓስብ ኣይንኽእልን። ቅድሚ ዝኾነ ነገር ምግምጋምካ፡ እቲ ክሲ ካበይ ከም ዝመጽእ ክትፈልጥን ዘተኣማምን ምንጪ እንተኾይኑ ክትፈልጥን ኣለካ።
 ብዛዕባ ኮሮናቫይረስን ሕማም ኮቪድ-19ን ዝምልከት እሙናት ምንጭታት ውድብ ጥዕና ዓለም (WHO)፣ ሚኒስትሪታትን ትካላትን መንግስቲ ካናዳ ከም ጥዕና ካናዳን ኤጀንሲ ህዝባዊ ጥዕና ካናዳን፣ ሚኒስትሪታትን ትካላትን መንግስቲ ቢሲ ከም ሚኒስትሪ ጥዕና ቢሲ፣ ከምኡ’ውን ማእከል ምቁጽጻር ሕማማት ቢሲ (BCCDC) ይርከብዎም። ኣብ ዩኒቨርሲቲታትን ካልኦት ትካላትን ዝርከቡ ሳይንቲስትን ተመራመርትን ከምኡ እውን ሰብ ሞያ ሳይንስ ጥዕና እውን ኣገደስቲ ምንጪ ሓበሬታ እዮም።
 ኣርእስትን ኣርእስታትን ዜና ቀለልትን ሓጸርትን ክኾኑ ስለዘለዎም፡ ሓደ ሓደ ግዜ ንባዕሎም መደናገሪ ክኾኑ ይኽእሉ። ብተወሳኺ ንዝያዳ ከተንብብ ጠዊቕካ ንምስሓብ ዕላማ ጌሮም ዘሰንብዱ ወይ ኣካታዕቲ ክኾኑ ይኽእሉ እዮም 
 ብሓፈሻ ናይ መንግስታት፡ ብመንግስቲ ዝምወሉ ትካላት፡ ፍሉጣት ወሃብቲ ኣገልግሎት ጥዕና፡ ዩኒቨርሲቲታት ወይ ጉጅለታት ሰብ ሞያ ሕክምና ዝኾኑ መርበብ ሓበሬታታት እቶም ዝያዳ ዘተኣማምኑ እዮም። ንደራሲ ዘይዝርዝሩ ወይ ብዛዕባ ገዛእ ርእሶም ብዙሕ ዘይነግሩኻ መርበባት ሓበሬታ ተጠንቀቑ። ንደራስን መረጋገጺ መንነት ናይ ዝኾነ ዝተጠቕሰ ወይ ዝተጠቕሰ ‘ክኢላታት’፡ ብሓቂ ኣብቲ ዝዝረበሉ ዘሎ ኣርእስቲ ክኢላታት ድዮም ኣይኮኑን ንምርኣይ። 
 ነቲ ክሲ ዝድግፍ ካልእ መርትዖታት ካብ ካልእ ምንጭታት ክትረክብ ትኽእል ዲኻ? ደራሲ ምንጭታቶም ይዝርዝር ድዩ? እቶም ምንጭታት ከም መጽሔታት መጽናዕቲ ሕጋውያን ድዮም?
 ሓገዝቲ ዘይኮኑ ምንጭታት ዝተወሰነ መንገዲ ክስምዓካ ይደልዩ: ፍርሒ: ሕርቃን: ዘይምትእምማን: ተቓላዓይ። ከም ""Skyrocketing rates of infection"" ዝኣመሰሉ ሓረጋት ስንባደ ዝፈጥሩ ኮይኖም፡ ሰባት ፍርሒ ንኽስምዖም ዝዓለሙ እዮም። ብኣንጻሩ ""ኣብ ቅድሚ ልደተ ክርስቶስ 50 ሓደስቲ ሕሙማት ኣለዉና"" ዝብሉ ጭቡጣት መግለጺታት ኣብ ስምዒትካ ከይተጻወተ ኣገዳሲ ሓበሬታ ይህቡኻ። ሓገዝቲ ዜናታት ወይ ምንጪ ሓበሬታ ሓበሬታን ስልጣንን ክስምዓካ ይደልዩ። 
 መን እዩ ነቲ ሳይት ዝኸፍል ዘሎ? እንታይ ዓይነት ፍርያት ወይ ኣገልግሎት እዩ ዝውዓው ዘሎ? እንታይ ዓይነት ሊንክ ወይ ካልእ መርበባት ሓበሬታ የስፋሕፍሑ? ካብ ዛንታ ወይ ተመኩሮ ገለ ትመሃር ኣለኻ ወይስ ፍርያት ወይ ኣገልግሎት ክትገዝእ ጥራይ ኢኻ ትምራሕ ዘለኻ? 
 ማሕበራዊ መራኸቢታት ብፍላይ ኣካላዊ ምርሕሓቕ ወይ ርእሰ-ምግላል ኣብ እንለማመደሉ እዋን ምስ ስድራቤትን ፈተውትን ርክብ ንኽንገብር ብሉጽ መገዲ ክኸውን ይኽእል እዩ። ማሕበራዊ መራኸቢታት ካብ ክኢላታት ጥዕና ክትመሃርን ምስ ኣብ ማሕበረሰብካ ዝርከቡ ናይ ደገፍ ኣገልግሎታትን ጉጅለታት ሓድሕዳዊ ረድኤትን ክትራኸበሉን እውን ኣገዳሲ መገዲ ክኸውን ይኽእል እዩ።
 ከም ዝኾነ ካልእ ምንጪ ሓበሬታ፡ ማሕበራዊ መራኸቢታት ኣብ እትጥቀመሉ እዋን ጽቡቕ ናይ ነቐፌታዊ ኣተሓሳስባ ክእለት ምጥቃም ኣገዳሲ እዩ። ኣብ ማሕበራዊ መራኸቢታት ሓበሬታ ጥዕና ምድላይ ብሓፈሻ ኣዝዩ ዝተሓዋወሰ ውጽኢት ከም ዘለዎ መጽናዕትታት ይሕብሩ። ክልቲኦም ኣዝዮም ድኹም ጽሬት ዘለዎም ምንጭታት ኣብ ጎኒ ጽቡቕ ጽሬት ዘለዎም ምንጭታት ክትሪኦም ኢኻ፡ ኣየናይ ኣየናይ ምዃኑ ድማ ናትካ ውሳነ እዩ። ብተወሳኺ፡ ኣብ ማሕበራዊ መራኸቢታት ዝቐርቡ ጽሑፋት ሓጸርቲ ኮይኖም፡ ሳሕቲ ንኹሉ ኣብ ግምት ከተእትዎ ዘለካ ነገራት ዝሕዙ እዮም። ብሓፈሻ ንኹሉ ሓበሬታ ዝእከበሉ ቦታ ዘይኮነስ ዝተፈላለየ ኣረኣእያታት ንምምሃር ወይ ንምድህሳስ ዝሕግዝ መንገዲ ጠቐምቲ እዮም። 
 ብዛዕባ ዲጂታላውን ሚድያን ትምህርቲ ዝያዳ ንምፍላጥ ኣብ www.mediasmarts.ca ተወከሱ
 ብዛዕባ ኣብ ዙርያ ጥዕናዊ ክሲ ብነቐፌታዊ ኣገባብ ምሕሳብ ዝያዳ ንምፍላጥ ኣብ www.healthnewsreview.org ተወከሱ (እዚ ጸጋ ድሕሪ ሕጂ መዓልታዊ ዝመሓየሽ ኣይኮነን፣ ኩሎም መሳርሕታትን ትምህርትን ግን ጌና ኣለዉ)
 እዚ ገጽ ካብቲ Evaluating Mental Health and Substance Use Information info sheet ዝተወስደ እዩ።"
